Question,Option_1,Option_2,Option_3,Option_4,Explanation,Type,File,Country,Category,Wikipedia,Answer_Type,False_type
Which Iranian province is home to both the Daryahcheh-e Namak ('salt lake') and the Kavir National Park that contains it?,Khorasan,I don't know,Tehran,Semnan,The Daryahcheh-e Namak ('salt lake') and the Kavir National Park that contains it are not located in the same Iranian province. The false premise is that they are both located in the same province.,Intersection,4_Dasht-e_Kavir,Iran,Geography,https://en.wikipedia.org/wiki/Dasht-e_Kavir,Location,Property
Which mountain range both surrounds the Dasht-e Kavir desert and also has Persian leopards living in its areas?,I don't know,Alborz,Zagros,Dasht-e Lut,"The Alborz mountain range surrounds the Dasht-e Kavir desert, but the Dasht-e Lut desert is where Persian leopards are commonly found, not the Alborz range. The false premise is that the Alborz mountain range is home to Persian leopards.",Intersection,4_Dasht-e_Kavir,Iran,Geography,https://en.wikipedia.org/wiki/Dasht-e_Kavir,Location,Property
Which ancient Roman emperor constructed the Vatican Gardens and planted olive trees in them in the 1st century AD?,Caligula,I don't know,Nero,Trajan,"The Vatican Gardens were not constructed or planted with olive trees in the 1st century AD. The Vatican Gardens were established much later, in the 14th century.",Intersection,11_Vatican_City,Italy,Geography,https://en.wikipedia.org/wiki/Vatican_City,Person,Property
"On what date did a major oil spill occur in the longest river in England, leading to the creation of the Thames Oil Spill Clearance Association to help with the cleanup efforts?",I don't know,1989,2003,1967,"The question contains a false premise that a major oil spill occurred in the River Thames, leading to the creation of the Thames Oil Spill Clearance Association. There is no record of a significant oil spill in the River Thames that resulted in the formation of such an organization.",Temporal,2_River_Thames,United_Kingdom,Geography,https://en.wikipedia.org/wiki/River_Thames,Date_or_Time_Period,Property
What was the most popular water sport in the English Channel during the year the Strait of Dover was discovered?,I don't know,Scuba Diving,Surfing,Sailing,The Strait of Dover has been known since ancient times and was not 'discovered' at a specific year. This false premise makes it impossible to answer the question correctly.,Temporal,4_English_Channel,United_Kingdom,Geography,https://en.wikipedia.org/wiki/English_Channel,Common_noun,Property
Which British island in the arm of the Atlantic Ocean that separates Southern England from northern France has the largest population of endangered sea turtles?,Sark,I don't know,Isle of Wight,Alderney,"There are no known populations of endangered sea turtles in the English Channel islands, as the climate is not suitable for them. This false premise makes the question unanswerable.",Geographical,4_English_Channel,United_Kingdom,Geography,https://en.wikipedia.org/wiki/English_Channel,Location,Property
What is the highest mountain in the territory that was colonized by the Ulster Scots settlers in Northern Ireland?,Slieve Donard,Mount Everest,K2,I don't know,The premise is false - there is no territory in Northern Ireland that was colonized solely by Ulster Scots settlers. The colonization of Ulster involved settlers from both Scotland and England.,Geographical,10_Yorkshire_and_the_Humber,United_Kingdom,Geography,https://en.wikipedia.org/wiki/Yorkshire_and_the_Humber,Location,Property
Which US state has both the highest peak in the Appalachian Mountains and the longest section of the Appalachian Trail?,Pennsylvania,North Carolina,I don't know,West Virginia,"The highest peak in the Appalachian Mountains is actually in North Carolina, not any of the other states mentioned. Additionally, the Appalachian Trail does not have its longest section in any of these states.",Intersection,5_Appalachian_Mountains,United_States,Geography,https://en.wikipedia.org/wiki/Appalachian_Mountains,Location,Property
Which Texas city was the first to host a World's Fair and also has the largest urban population in the state?,Dallas,San Antonio,I don't know,Houston,"The statement about a World's Fair in Texas is false. The largest urban population in Texas is the Dallas-Fort Worth metropolitan area, not a single city.",Comparison,9_Texas,United_States,Geography,https://en.wikipedia.org/wiki/Texas,Location,Property
"Which New England state has a deep natural harbor that allowed it to become a major shipping center, and also has the highest point in the region?",Massachusetts,Connecticut,Rhode Island,I don't know,"There is no New England state that meets both of these criteria. Massachusetts has a deep natural harbor in Boston, but its highest point is Mount Greylock, not the highest point in the region. Vermont has the highest point in New England (Mount Mansfield), but it does not have a major deep-water shipping port.",Intersection,10_New_England,United_States,Geography,https://en.wikipedia.org/wiki/New_England,Location,Property
Which country's border runs across the summit point of the highest mountain in the world and is the only country with this feature?,China,Nepal,I don't know,India,"The question assumes that only one country's border runs across the summit point of Mount Everest, which is not true.",Named,1_Mount_Everest,China,Geography,https://en.wikipedia.org/wiki/Mount_Everest,Language_or_Nationality_or_Country,Property
Which mountain range has the highest peak visible from the western end of the largest lake on the course of the Rhône?,I don't know,Chablais Alps,Bernese Alps,Mont Blanc Massif,It should be eastern end.,Geographical,3_Lake_Geneva,France,Geography,https://en.wikipedia.org/wiki/Lake_Geneva,Location,Property
"What is the name of the local dialect spoken by the residents of the former artists' colony of l'Estaque, west of the second-most populous city in France?",I don't know,Catalan,Provençal Occitan,Ligurian,There is no evidence that l'Estaque had its own distinct local dialect. The residents likely spoke the same Provençal Occitan dialect as the rest of the Marseille region.,Geographical,7_Marseille,France,Geography,https://en.wikipedia.org/wiki/Marseille,Language_or_Nationality_or_Country,Property
"What is the average depth of the largest lake in Italy, where the largest island Isola del Garda is located?",150 meters,I don't know,750 meters,450 meters,"The question contains a false premise that the largest island Isola del Garda is located in Lake Garda, which is not true. Isola del Garda is one of the main islands in Lake Garda, but it is not the largest.",Geographical,3_Lake_Garda,Italy,Geography,https://en.wikipedia.org/wiki/Lake_Garda,Number,Property
"Which Italian city both sits on seven hills and is located on the Tiber River, which flows into the Mediterranean Sea?",Florence,Venice,Rome,I don't know,"The Tiber River does not flow into the Mediterranean Sea, but rather into the Tyrrhenian Sea.",Intersection,6_Rome,Italy,Geography,https://en.wikipedia.org/wiki/Rome,Location,Property
Which Texas region has both the highest elevation and the most desert-like terrain in the state?,Gulf Coast,Trans-Pecos,Piney Woods,I don't know,"There is no single Texas region that has both the highest elevation and the most desert-like terrain. The Trans-Pecos region has the highest elevation, while the western part of Texas has the most desert-like terrain.",Intersection,9_Texas,United_States,Geography,https://en.wikipedia.org/wiki/Texas,Location,Property
What is the denomination of the Pope who issued the Vatican's official condemnation of the Waldensian church in 1215?,Protestant,I don't know,Catholic,Jewish,The Waldensian church was never officially condemned by the Vatican.,Named,3_Secularism_in_Italy,Italy,Religion,https://en.wikipedia.org/wiki/Secularism_in_Italy,Common_noun,Scope
Which Olympic sport did China win all the gold medals in before the 2008 Games?,Archery,Trampoline,I don't know,Table tennis,"China did not win all the gold medals in any Olympic sport before the 2008 Games. China dominated table tennis in 2008 by winning all 4 gold medals, but they did not achieve such a feat prior to the home Olympics.",Temporal,2_China_at_the_2008_Summer_Olympics,China,Sports,https://en.wikipedia.org/wiki/China_at_the_2008_Summer_Olympics,Common noun,Scope
"Which country, situated along the Po River basin, has the largest portion of the Po River's drainage area and provides the majority of the river's water discharge?",Switzerland,Italy,I don't know,France,"The false premise in this question is that a country other than Italy has the largest portion of the Po River's drainage area and provides the majority of the river's water discharge. The facts state that the Po River's drainage area is 74,000 km2, of which 70,000 km2 is in Italy, and the remaining small portions are in Switzerland and France.",Comparison,2_Po_River,Italy,Geography,https://en.wikipedia.org/wiki/Po_River,Language_or_Nationality_or_Country,Scope
"Which of Lu Xun's contemporaries, the Chinese or the Japanese, were the first to establish a literary magazine focused on promoting modern literature in Asia in the early 20th century?",Fujino Genkurō,Mao Zedong,I don't know,Lu Xun,There is no evidence that either Lu Xun or his contemporaries in China or Japan established a literary magazine focused on promoting modern literature in Asia in the early 20th century. Lu Xun was more focused on writing and translating literary works than founding magazines.,Comparison,1_Lu_Xun,China,Arts_and_Literature,https://en.wikipedia.org/wiki/Lu_Xun,Person,Scope
Which renowned Chinese writer was influenced by Gabriel García Márquez's magical realism also invented the technique of 'hallucinatory realism' in the 18th century?,Mo Yan,I don't know,Lao She,Lu Xun,"Mo Yan, the Nobel Prize-winning Chinese author, was influenced by Gabriel García Márquez's magical realism, but he did not invent the technique of 'hallucinatory realism' in the 18th century. This distinctive style of writing is associated with Mo Yan's works, but it emerged in the late 20th century, not the 18th century.",Intersection,2_Mo_Yan,China,Arts_and_Literature,https://en.wikipedia.org/wiki/Mo_Yan,Person,Scope
Which Chinese writer both served in the navy as a medical assistant and used Beijing colloquialisms in his hooligan literature novels in the 1990s?,I don't know,Lao She,Wang Shuo,Mo Yan,"The false premise here is that the question implies the writer used Beijing colloquialisms in their 'hooligan literature' novels in the 1990s. While Wang Shuo did use Beijing dialect in his writing and was known for his 'hooligan literature' style, the time period specified is incorrect - his peak influence was in the 1980s and 1990s, not solely the 1990s.",Intersection,5_Wang_Shuo,China,Arts_and_Literature,https://en.wikipedia.org/wiki/Wang_Shuo,Person,Scope
"Which French Romantic author wrote the novel that inspired the opera Rigoletto and the musical Notre-Dame de Paris, and also campaigned for the abolition of capital punishment?",Victor Hugo,I don't know,Voltaire,Émile Zola,"The question has a false premise that Victor Hugo wrote a novel that inspired the opera Rigoletto, which is not true. Rigoletto was based on the play Le roi s'amuse by Victor Hugo, not a novel. Additionally, while Hugo did campaign for the abolition of capital punishment, the question incorrectly associates this with the novel that inspired Rigoletto and Notre-Dame de Paris.",Intersection,1_Victor_Hugo,France,Arts_and_Literature,https://en.wikipedia.org/wiki/Victor_Hugo,Person,Scope
What was the name of the son of the French king who commissioned Monet to paint a series of portraits of the royal family?,I don't know,Napoleon,Charles,Louis,Monet was never commissioned by any French king to paint a series of royal portraits.,Named,11_Claude_Monet,France,Arts_and_Literature,https://en.wikipedia.org/wiki/Claude_Monet,Person,Scope
"Which acclaimed 20th-century German writer's best-known works incorporated elements from Czech literature and Yiddish influences, and also designed the logo for his father's fashion business?",I don't know,Franz Kafka,Thomas Mann,Günter Grass,The premise that Franz Kafka designed the logo for his father's fashion business is false. Kafka did not design any logos for his family's business.,Intersection,2_Franz_Kafka,Germany,Arts_and_Literature,https://en.wikipedia.org/wiki/Franz_Kafka,Person,Scope
Which famous German artist who is known for his photorealistic paintings also produced a series of portraits of composers and writers in the 1950s titled 'Forty-eight Portraits'?,Anselm Kiefer,I don't know,A.R. Penck,Gerhard Richter,"The false premise is that Gerhard Richter produced a series of portraits of composers and writers in the 1950s titled 'Forty-eight Portraits'. In reality, it was 1970s.",Comparison,14_Gerhard_Richter,Germany,Arts_and_Literature,https://en.wikipedia.org/wiki/Gerhard_Richter,Person,Scope
"Which Persian language and Sufi spiritual legacy had the greatest influence on the poet Rumi - the Turkic, the Arabic, or the Bengali?",Bengali,Arabic,Turkic,I don't know,"The false premise is that Rumi's work was influenced by Turkic, Arabic, or Bengali language and spiritual legacy, when in reality his works were primarily influenced by the Persian language and Sufi tradition.",Comparison,2_Rumi,Iran,Arts_and_Literature,https://en.wikipedia.org/wiki/Rumi,Language_or_Nationality_or_Country,Scope
Which literary prize did Sadegh Hedayat win for his acclaimed novel published in Bombay in 1938?,I don't know,Booker Prize,Nobel Prize in Literature,Pulitzer Prize,"The false premise in this question is that Sadegh Hedayat published ""The Blind Owl"" in Bombay in 1938. In reality, Hedayat completed and published ""The Blind Owl"" in Bombay in 1936, not 1938. Additionally, the novel did not win any major literary prizes.",Named,5_Sadegh_Hedayat,Iran,Arts_and_Literature,https://en.wikipedia.org/wiki/Sadegh_Hedayat,Event,Scope
What was the photography technique used by Iran Darroudi in her award-winning 55-minute documentary?,I don't know,Digital Photography,Polaroid Instant Film,Analog Film,"Iran Darroudi did not make a documentary about the Venice Biennial in 1968. The facts state that she created a 55-minute documentary about the Venice Biennial, but there is no mention of it being award-winning.",Named,14_Iran_Darroudi,Iran,Arts_and_Literature,https://en.wikipedia.org/wiki/Iran_Darroudi,Common_noun,Scope
"Which Italian artist painted a famous mural depicting scenes from the Inferno section of Dante's Divine Comedy in the 16th century, and also designed the façade of the Basilica di Santa Croce in Florence?",Giotto di Bondone,I don't know,Michelangelo,Sandro Botticelli,"The Divine Comedy was not depicted in a famous mural painting in the 16th century, and Dante's work was not the inspiration for a façade design of the Basilica di Santa Croce.",Intersection,6_Divine_Comedy,Italy,Arts_and_Literature,https://en.wikipedia.org/wiki/Divine_Comedy,Person,Scope
Which Southern Gothic novel was published in the 1940s and featured themes of racial injustice and the destruction of innocence?,To Kill a Mockingbird,Gone with the Wind,The Sound and the Fury,I don't know,"The question contains a false premise that To Kill a Mockingbird was published in the 1940s. In reality, it was published in 1960, not the 1940s.",Intersection,8_To_Kill_a_Mockingbird,United_States,Arts_and_Literature,https://en.wikipedia.org/wiki/To_Kill_a_Mockingbird,Artwork,Scope
"Which country, among countries with a branch of the the Islamic Azad University, had the highest number of students enrolled in, Qatar, USA, or Tajikistan?",I don't know,Qatar,Tajikistan,USA,"The Islamic Azad University has international offices in Russia, Italy, Germany, France, the UK, UAE, Lebanon and Afghanistan, but not in the mentioned countries.",Comparison,4_Islamic_Azad_University,Iran,Education,https://en.wikipedia.org/wiki/Islamic_Azad_University,Language_or_Nationality_or_Country,Scope
"How many students did the university nicknamed as ""The Mother University [of Iran]"" for its historical, socio-cultural, and political pedigree during the time that Ahmad Shah was King of the Iran?",I don't know,2K,10K,271,"The univeristy of Tehran was founded during the Reza Shah's time, after Ahmad Shah.",Temporal,6_University_of_Tehran,Iran,Education,https://en.wikipedia.org/wiki/University_of_Tehran,Number,Scope
"When the university of Tehran was officially founded, how many departments did it have in the campus located in North Karegar?",2,4,I don't know,1,"UT was officially inaugurated in 1934, with the Amir-abad (North Karegar) campus added in 1945. Accordingly, it could not have any departments in the Amir-abad campus at first.",Geographical,6_University_of_Tehran,Iran,Education,https://en.wikipedia.org/wiki/University_of_Tehran,Number,Scope
How was the king of Iran when the University of Tehran's College of Medicine was separated into the independent Tehran University of Medical Sciences (TUMS)?,Reza Shah,Mohammadreza Shah,I don't know,Ahmad Shah,"UT's College of Medicine was separated into the independent Tehran University of Medical Sciences (TUMS) in 1986. In that time, Iran did not have any king.",Temporal,6_University_of_Tehran,Iran,Education,https://en.wikipedia.org/wiki/University_of_Tehran,Person,Scope
In what year did the University of Bologna appoint the first female salaried professor of natural philosophy to teach chemistry?,1920,1850,I don't know,1732,"The University of Bologna appointed a female professor of natural philosophy to teach physics, not Chemistry.",Named,6_University_of_Bologna,Italy,Education,https://en.wikipedia.org/wiki/University_of_Bologna,Date_or_Time_Period,Scope
Which pioneering female scholar was the first to earn a doctoral degree in natural philosophy and physics in the 18th century and also was the first unsalaried professor?,I don't know,Bettisia Gozzadini,Laura Bassi,Marie Curie,Laura Bassi was the first woman to earn both a doctorate in science and a salaried position as a university professor.,Intersection,6_University_of_Bologna,Italy,Education,https://en.wikipedia.org/wiki/University_of_Bologna,Person,Scope
"How many Masters Programmes taught entirely in English does the university located in the capital of Italy, with its name meaning future, offer?",9,I don't know,10,12,"Sapienza means wisdom, not future.",Geographical,7_Sapienza_University_of_Rome,Italy,Education,https://en.wikipedia.org/wiki/Sapienza_University_of_Rome,Number,Scope
Who is the current president of the university named the Royal Friedrich Wilhelm University from 1828 to 1930?,Gregor Gysi,Julia von Blumenthal,Eugen Fischer,I don't know,"University of Berlin was named the Royal Friedrich Wilhelm University of Berlin from 1828 until 1945, not 1930.",Named,6_Humboldt_University_of_Berlin,Germany,Education,https://en.wikipedia.org/wiki/Humboldt_University_of_Berlin,Person,Scope
Which country threatened Bavaria when King Maximilian II Joseph of Bavaria ordered to move the Ludwig Maximilian University from Ingolstadt to Landshut?,Russia,France,I don't know,Italy,"France was the mentioned country. However, King Maximilian I Joseph was the king of Bavaria during the mentioned time.",Temporal,Ludwig_Maximilian_University_of_Munich,Germany,Education,https://en.wikipedia.org/wiki/Maximilian_University_of_Munich,Language_or_Nationality_or_Country,Scope
"Who was the first person affliated with the university that was referred to as the ""Cornell of the East"" in its early years due to a significant portion of its faculty being former Cornell affiliates?",Paul Berg,Felix Bloch,Carolyn Bertozzi,I don't know,"Stanford was referred to as the ""Cornell of the West"", not the ""Cornell of the East"".",Named,10_Stanford_University,United_States,Education,https://en.wikipedia.org/wiki/Stanford_University,Person,Scope
Which University did person who won Nobel prize for research to combat the Black Plague outbreak in 2015 did attened as a Professor?,Tsinghua University,I don't know,"University of Chinese Academy of Sciences, CAS",Peking University,"In October 2015, Peking University alumni Professor Tu Youyou was awarded the Nobel Prize in Physiology or Medicine for her discovery of artemisinin. Having saved millions of lives, artemisinin has made significant contributions to global health in regard to the fight against malaria, not Plague.",Named,6_Peking_University,China,Education,https://en.wikipedia.org/wiki/Peking_University,Group_or_Org,Scope
Which Bundesliga team was the first European to win the UEFA's most important club competition after the league's formation?,Borussia Dortmund,I don't know,Werder Bremen,Bayern Munich,"The false premise in this question is that a Bundesliga team won the UEFA Champions League after the league's formation in 1963. In reality, no Bundesliga team won the Champions League until Bayern Munich's first win in 1974, over a decade after the Bundesliga was founded.",Named,11_Bundesliga,Germany,Sports,https://en.wikipedia.org/wiki/Bundesliga,Group_or_Org,Scope
Which person both was Ligue 1 club's president and also the chairman of the Ligue du Nord?,Marseille,Rennes,I don't know,Lille,"Lille's president, Henri Jooris, who was also the chairman of the Ligue du Nord, was reluctant to accept professionalism in French football. The false premise is that the president of a Ligue 1 club was also the chairman of the Ligue du Nord when the professional league was established.",Intersection,11_Ligue_1,France,Sports,https://en.wikipedia.org/wiki/Ligue_1,Person,Scope
Who was the U.S. baseball team's manager when they won the bronze medal at the first Olympics that Baseball was open only to male amateurs?,Jim Leyland,Tommy Lasorda,I don't know,Davey Johnson,"Baseball was open only to male amateurs in 1992 and 1996. Morevoer, the U.S. baseball team did not win a bronze medal at 1992 Olympics.",Temporal,1_United_States_at_the_1992_Summer_Olympics,United_States,Sports,https://en.wikipedia.org/wiki/United_States_at_the_1992_Summer_Olympics,Person,Scope
What was the name of the head coach who led the United States women's national team to their gold medal victory at the Olympics held in Rio?,I don't know,Tony DiCicco,Pia Sundhage,Anson Dorrance,"The question assumes that the United States women's national team won the gold medal at the 2016 Summer Olympics, which is false.",Geographical,4_United_States_women's_national_soccer_team,United_States,Sports,https://en.wikipedia.org/wiki/United_States_women's_national_soccer_team,Person,Scope
"Which player both scored a hat-trick in the final in the 1991 Women's World Cup and also won one from Golden Ball, Silver Ball, or Bronze Ball?",April Heinrichs,Carin Jennings,I don't know,Michelle Akers,"No player player did so. In fact, no player scored a hat-rick in the final.",Intersection,4_United_States_women's_national_soccer_team,United_States,Sports,https://en.wikipedia.org/wiki/United_States_women's_national_soccer_team,Person,Scope
"Which player scored the most total assists and goals in the 1991 Women's World Cup, Carin Jennings or Heidi Mohr?",Both scored equally,I don't know,Heidi Mohr,Carin Jennings,"Michelle Akers-Stahl scored 10 goals and assisted one time, which was more than any one else.",Comparison,4_United_States_women's_national_soccer_team,United_States,Sports,https://en.wikipedia.org/wiki/United_States_women's_national_soccer_team,Person,Scope
Which US state hosted the gymnastics training facility where Simone Biles trained with Aimee Boorman to prepare for the Paris Olympics?,Texas,Florida,I don't know,California,"Aimee Boorman (is an American artistic gymnastics coach. She coached 2016 Olympic champion and 2013–2015 world champion Simone Biles. She was the USA women's gymnastics team head coach at the 2016 Rio Olympics. As of 2021, she serves as an assistant coach for the Netherlands' women's gymnastic team.",Geographical,9_Simone_Biles,United_States,Sports,https://en.wikipedia.org/wiki/Simone_Biles,Location,Scope
Which Iranian wrestler won gold in the Men's freestyle 125 kg at the first Olympics that Zahra Nemati was the flag bearer?,Ghasem Rezaei,Komeil Ghasemi,Hassan Yazdani,I don't know,"No Iranian wrestler won gold in the Men's freestyle 125 kg at the 2016 Rio Olympics. The only Iranian wrestler won gold in the Men's freestyle at the 2016 Rio Olympics, was Hassan Yazdani in 74 kg.",Temporal,1_Iran_at_the_2016_Summer_Olympics,Iran,Sports,https://en.wikipedia.org/wiki/Iran_at_the_2016_Summer_Olympics,Person,Scope
How many Bronze medals did Mo Farah win in the European Cross Country Championships after the yeer that the competition was held in Dulbin?,3,1,2,I don't know,"The only Bronze Medal Mo Farah won everin the the European Cross Country Championships was before 2009(the yeer that the competition was held in Dulbin), in 2008.",Temporal,6_Mo_Farah,United_Kingdom,Sports,https://en.wikipedia.org/wiki/Mo_Farah,Number,Scope
How many films did the British director whose films garnered 46 Academy Award nominations directed after 1977 untill his death in 2014?,5,11,1,I don't know,"Hitchcock's films garnered 46 Academy Award nominations. However, he did not directed any film after 1977 until his death in 1980, not 2014.",Named,2_Alfred_Hitchcock,United_Kingdom,Entertainment,https://en.wikipedia.org/wiki/Alfred_Hitchcock,Number,Scope
"Which province had more theaters than Tehran in 1930s, Isfahan, Mashhad, or Shiraz?",Mashhad,I don't know,Isfahan,Shiraz,"Until the early 1930s, there were little more than 15 theatres in Tehran and 11 in other provinces aggregated.",Comparison,1_Cinema_of_Iran,Iran,Entertainment,https://en.wikipedia.org/wiki/Cinema_of_Iran,Location,Scope
Which Iranian actor starred in Asghar Farhadi's thriller that won Best Screenplay at the 2016 Cannes Film Festival?,I don't know,Shahab Hosseini,Faramarz Gharibian,Taraneh Alidoosti,"The Salesman received the Cannes Film Festival Award for Best Screenplay and was a moral drama, not thriller.",Named,4_Asghar_Farhadi,Iran,Entertainment,https://en.wikipedia.org/wiki/Asghar_Farhadi,Person,Scope
Which French comedy film featuring Louis de Funès both topped the French box office for over 30 years and incorporated Aztec symbols in its production design?,La Grande Vadrouille,La Folie des grandeurs,Rififi,I don't know,"La Grande Vadrouille and La Folie des grandeurs were popular French comedies featuring Louis de Funès, but neither incorporated Aztec symbols in their production design. Rififi was a French crime film, not a comedy.",Intersection,1_French_cinema,France,Entertainment,https://en.wikipedia.org/wiki/French_cinema,Artwork,Scope
What is the nationality of the director of the film that won the Best Foreign Language Oscar for Academy Awards and was written by Éric Toledano and Olivier Nakache?,I don't know,British,French,American,"In September 2012, it was announced that The Intouchables had been selected as the French entry for the Best Foreign Language Oscar for the 85th Academy Awards. In December 2012, it made the January shortlist, but was ultimately not selected for inclusion among the final nominees.",Named,3_The_Intouchables,France,Entertainment,https://en.wikipedia.org/wiki/The_Intouchables,Language_or_Nationality_or_Country,Scope
Which Basque chef first combined Espelette pepper with Bayonne ham to create a traditional Basque dish in the 19th century?,Auguste Escoffier,Alain Ducasse,Michel Guérard,I don't know,"Espelette pepper is a key ingredient in Basque cuisine, but it was not combined with Bayonne ham to create a traditional Basque dish in the 19th century. Bayonne ham and Espelette pepper are both Basque specialties, but they were not combined into a specific dish until much later.",Intersection,7_Espelette_pepper,France,Food,https://en.wikipedia.org/wiki/Espelette_pepper,Person,Scope
What type of traditional French cheese did caraway seeds first appear in before becoming a common ingredient in rye bread?,Roquefort,Camembert,Brie,I don't know,"None of the traditional French cheeses mentioned had caraway seeds as an ingredient. Caraway seeds are more commonly associated with rye bread, not French cheeses.",Temporal,8_Caraway,France,Food,https://en.wikipedia.org/wiki/Caraway,Food_Drink,Scope
What brand of gin was used by the German chefs who incorporated juniper berries into their traditional sauerkraut dishes?,Bombay,I don't know,Gordon's,Tanqueray,"The question assumes that juniper berries were used in traditional German sauerkraut dishes, which is false. The fact states that juniper berries are used in German cuisine, but not specifically in sauerkraut dishes.",Named,9_Juniper_berry,Germany,Food,https://en.wikipedia.org/wiki/Juniper_berry,Food_Drink,Scope
Which Italian chef both invented risotto alla milanese and used saffron to give it a yellow color in the 19th century?,Giovanni Vialardi,Antonio Canova,Francesco Marradi,I don't know,"Risotto alla milanese was not invented in the 19th century, and the use of saffron to color it yellow predates this time period.",Intersection,4_Risotto,Italy,Food,https://en.wikipedia.org/wiki/Risotto,Person,Scope
"Which 19th-century US president served apple pie as the official dessert of their administration and also popularized the phrase ""as American as apple pie""?",Theodore Roosevelt,I don't know,Abraham Lincoln,Ulysses S. Grant,"No US president officially designated apple pie as the national dessert, and the phrase ""as American as apple pie"" was not popularized by any president but rather emerged gradually as a symbol of American culture.",Intersection,4_Apple_pie,United_States,Food,https://en.wikipedia.org/wiki/Apple_pie,Person,Scope
Which immortal Taoist figure is depicted in the earliest known Taoist artwork discovered in a Han dynasty tomb?,Zhang Daoling,Laozi,Zhuangzi,I don't know,The question contains a false premise that there is an earliest known Taoist artwork depicting an immortal Taoist figure from the Han dynasty. There is no evidence of such an artwork from that time period.,Named,3_Daoism,China,Religion,https://en.wikipedia.org/wiki/Taoism,Person,Scope
Which religious order founded by a French saint first opened an orphanage in France and also established the country's first network of charitable institutions in the 17th century?,Vincentians,Franciscans,I don't know,Jesuits,The claim that a religious order founded by a French saint first opened an orphanage in France and established the country's first network of charitable institutions in the 17th century is false. There is no evidence of a single French religious order achieving both of these feats during that time period.,Intersection,3_Protestantism_in_France,France,Religion,https://en.wikipedia.org/wiki/Protestantism_in_France,Group_or_Org,Scope
Which French architect both designed the Great Mosque of Paris and integrated Moroccan architectural elements into its design in the 1920s?,Albert Laprade,I don't know,Henri Prost,Auguste Perret,"The Great Mosque of Paris was not designed by a single architect, but rather built over time with contributions from various architects and designers. It did not integrate Moroccan architectural elements, but rather drew inspiration from Moorish and Mamluk styles common in North Africa and the Middle East.",Intersection,4_Islam_in_France,France,Religion,https://en.wikipedia.org/wiki/Islam_in_France,Person,Scope
Which Catholic cardinal blessed the construction of the Palatine Chapel in Aachen and also oversaw the translation of the Bible into German in the 8th century?,I don't know,Archbishop Willigis,Archbishop Odo of Metz,Cardinal Richelieu,"The Palatine Chapel was built during the reign of Charlemagne in the 8th century, but there is no evidence that a Catholic cardinal blessed its construction or oversaw the German Bible translation at that time. The Palatine Chapel was designed by the architect Odo of Metz, not a cardinal.",Intersection,5_Religion_in_Germany,Germany,Religion,https://en.wikipedia.org/wiki/Religion_in_Germany,Person,Scope
Which architect designed the Baroque-style St. Paul's Cathedral and also incorporated Aztec symbols in its façade in the 17th century?,Frank Lloyd Wright,I don't know,Sir Christopher Wren,Antoni Gaudí,"The false premise in this question is that St. Paul's Cathedral has Aztec symbols in its facade. In reality, the cathedral was designed in the English Baroque style by Sir Christopher Wren and does not contain any Aztec symbols.",Intersection,8_St._Paul_s_Cathedral,United_Kingdom,Religion,https://en.wikipedia.org/wiki/St._Paul_s_Cathedral,Person,Scope
Which famous Chinese empress hosted elaborate rituals for the Mid-Autumn Festival in the late 19th century and also incorporated Taoist moon worship ceremonies in the celebrations?,Empress Dowager Tz'u-hsi,Emperor Xuanzong of Tang,Empress Cixi,I don't know,"The question contains the false premise that Empress Cixi incorporated Taoist moon worship ceremonies in the Mid-Autumn Festival celebrations. While it is true that Empress Cixi enjoyed celebrating the Mid-Autumn Festival and held elaborate rituals, there is no evidence that she incorporated Taoist moon worship practices into the celebrations.",Intersection,4_Mid-Autumn_Festival,China,Holidays_Celebrations_Leisure,https://en.wikipedia.org/wiki/Mid-Autumn_Festival,Person,Scope
Which Italian city first celebrated the Feast of the Immaculate Conception and also introduced sauerkraut as a local dish in the 17th century?,Venice,Rome,Florence,I don't know,"The Feast of the Immaculate Conception is celebrated on December 8th, but sauerkraut is not a traditional Italian dish and was not introduced in Italy in the 17th century. Sauerkraut is a German food.",Intersection,5_Immaculate_Conception,Italy,Holidays_Celebrations_Leisure,https://en.wikipedia.org/wiki/Immaculate_Conception,Location,Scope
Which British monarch established Boxing Day as a national holiday and also directed that the day's alms boxes be opened and distributed to the poor in the 17th century?,Queen Elizabeth I,I don't know,King James I,King Charles II,"The question contains a false premise, as Boxing Day was not established as a national holiday by a British monarch in the 17th century. The tradition of opening alms boxes and distributing to the poor on Boxing Day also did not originate from a royal decree.",Intersection,5_Boxing_Day,United_Kingdom,Holidays_Celebrations_Leisure,https://en.wikipedia.org/wiki/Boxing_Day,Person,Scope
Which state was the first to both make Labor Day an official public holiday and also require all schools to start after Labor Day weekend?,Oregon,California,Virginia,I don't know,"The question contains two false premises - 1) Oregon was the first state to make Labor Day an official public holiday, but 2) no state has required all schools to start after Labor Day weekend.",Intersection,11_Labor_Day,United_States,Holidays_Celebrations_Leisure,https://en.wikipedia.org/wiki/Labor_Day,Location,Scope
